
Data Series,Total Population ,Resident Population ,Singapore Citizen Population ,Permanent Resident Population ,Non-Resident Population ,Total Population Growth ,Resident Population Growth ,Population Density ,Sex Ratio ,Median Age Of Resident Population ,Median Age Of Citizen Population ,Old-Age Support Ratio:Residents Aged 15-64 Years Per Resident Aged 65 Years & Over ,Age Dependency Ratio:Residents Aged Under 15 Years And 65 Years Per Hundred Residents Aged 15-64 Years ,Child Dependency Ratio:Residents Aged Under 15 Years Per Hundred Residents Aged 15-64 Years ,Old-Age Dependency Ratio:Residents Aged 65 Years & Over Per Hundred Residents Aged 15-64 Years ,Old-Age Support Ratio:Residents Aged 20-64 Years Per Resident Aged 65 Years & Over ,Age Dependency Ratio:Residents Aged Under 20 Years And 65 Years & Over Per Hundred Residents Aged 20-64 Years ,Child Dependency Ratio:Residents Aged Under 20 Years Per Hundred Residents Aged 20-64 Years ,Old-Age Dependency Ratio:Residents Aged 65 Years & Over Per Hundred Residents Aged 20-64 Years ,Old-Age Support Ratio:Citizens Aged 15-64 Years Per Citizen Aged 65 Years & Over ,Age Dependency Ratio:Citizens Aged Under 15 Years And 65 Years & Over Per Hundred Citizens Aged 15-64 Years ,Child Dependency Ratio:Citizens Aged Under 15 Years Per Hundred Citizens Aged 15-64 Years ,Old-Age Dependency Ratio:Citizens Aged 65 Years & Over Per Hundred Citizens Aged 15-64 Years ,Old-Age Support Ratio:Citizens Aged 20-64 Years Per Citizen Aged 65 Years & Over ,Age Dependency Ratio:Citizens Aged Under 20 Years And 65 Years & Over Per Hundred Citizens Aged 20-64 Years ,Child Dependency Ratio:Citizens Aged Under 20 Years Per Hundred Citizens Aged 20-64 Years ,Old-Age Dependency Ratio:Citizens Aged 65 Years & Over Per Hundred Citizens Aged 20-64 Years ,Resident Natural Increase ,Rate Of Natural Increase 
  2013,5399162,3844751,3313507,531244,1554411,1.6,0.7,7540,968,38.9,40,7,36.1,21.8,14.3,6.4,49.6,33.9,15.7,6.1,39,22.7,16.3,5.5,54.1,36,18.1,17871,4.6
  2012,5312437,3818205,3285140,533065,1494232,2.5,0.8,7429,970,38.4,39.6,7.4,35.7,22.3,13.5,6.7,49.5,34.7,14.8,6.5,38.4,23.1,15.3,5.9,53.8,36.8,17,21368,5.6
  2011,5183688,3789251,3257228,532023,1394437,2.1,0.5,7273,972,38,39.1,7.9,35.3,22.7,12.6,7.2,49.2,35.4,13.9,7,37.9,23.6,14.3,6.3,53.6,37.6,16,19291,5.1
  2010,5076732,3771721,3230719,541002,1305011,1.8,1,7146,974,37.4,38.6,8.2,35.7,23.5,12.2,7.4,50,36.5,13.5,7.2,38.3,24.4,13.9,6.4,54.4,38.8,15.5,18653,4.9
  2009,4987573,3733876,3200693,533183,1253697,3.1,2.5,7025,976,36.9,38.2,8.3,36.5,24.4,12.1,7.5,51,37.6,13.3,7.3,39,25.2,13.8,6.5,55.3,39.9,15.4,20912,5.6
  2008,4839396,3642659,3164438,478221,1196737,5.5,1.7,6846,980,36.7,37.8,8.4,37.2,25.3,11.9,7.6,52.2,39,13.2,7.5,39.4,26,13.4,6.7,56.2,41.2,15,21115,5.8
  2007,4588599,3583082,3133848,449234,1005517,4.3,1.6,6552,982,36.4,37.5,8.5,37.9,26.1,11.8,7.7,53,40,13,7.6,40,26.8,13.2,6.8,57,42.2,14.8,21029,5.9
  2006,4401365,3525894,3107924,417970,875471,3.2,1.7,6298,983,36.1,37,8.6,38.5,27,11.6,7.8,53.4,40.6,12.8,7.8,40.6,27.8,12.9,6.9,57.2,42.8,14.4,20858,5.9
  2005,4265762,3467814,3081001,386813,797948,2.4,1.6,6121,985,35.8,36.6,8.9,39.1,27.9,11.2,8.1,53.6,41.2,12.4,8.1,41.1,28.8,12.4,7.2,57.2,43.4,13.8,20243,5.8
  2004,4166664,3413266,3057087,356179,753398,1.3,1.4,5987,986,35.4,36.2,9.2,39.5,28.7,10.8,8.4,53.8,41.9,11.9,8.4,41.5,29.7,11.9,7.6,57.3,44.1,13.2,20210,5.9
  2003,4114826,3366891,3032541,334350,747935,0.2,1.6,5939,988,35,35.7,9.7,40.2,29.8,10.4,8.8,53.9,42.5,11.4,8.8,42.2,30.9,11.3,8,57.2,44.7,12.5,20306,6
  2002,4175950,3382944,3043397,339547,793006,0.9,1.7,6078,992,34.7,35.3,9.6,40.8,30.3,10.4,8.7,54.2,42.8,11.4,8.9,42.8,31.6,11.2,8.1,57.5,45.2,12.4,23647,7
  2001,4138012,3325902,3017092,308810,812110,2.7,1.6,6065,995,34.4,34.8,9.7,41,30.7,10.3,8.8,54.9,43.5,11.3,9.1,42.9,31.9,11,8.2,58,45.9,12.1,24832,7.5
  2000,4027887,3273363,2985886,287477,754524,1.7,1.4,5900,998,34,34.3,9.9,41.1,30.9,10.1,9,55.2,44,11.2,9.3,42.9,32.2,10.7,8.4,58.2,46.4,11.9,30050,9.2
  1999,3958723,3229681,2958379,271302,729042,0.8,1.6,5999,1000,33.6,33.8,10.1,41.2,31.3,9.9,9.2,55.4,44.5,10.8,9.6,42.9,32.6,10.4,8.7,58.3,46.8,11.5,26836,8.3
  1998,3927213,3180018,2929731,250287,747195,3.5,1.8,6060,1002,33.1,33.3,10.4,41.3,31.6,9.7,9.4,55.7,45.1,10.6,9.9,42.9,32.8,10.1,8.9,58.5,47.3,11.2,27089,8.5
  1997,3796038,3123403,2894794,228608,672635,3.4,1.8,5860,1005,32.7,32.9,10.5,41.4,31.9,9.5,9.6,55.8,45.3,10.5,10.1,43,33.1,9.9,9.2,58.4,47.4,10.9,31228,10
  1996,3670704,3068132,2860419,207712,602572,4.1,1.8,5669,1008,32.3,32.4,10.7,41.5,32.1,9.4,9.7,56.1,45.7,10.3,10.3,42.9,33.3,9.7,9.3,58.5,47.8,10.7,32278,10.5
  1995,3524506,3013515,2823707,189808,510991,3.1,1.8,5443,1010,31.9,31.9,10.8,41.6,32.3,9.2,9.8,56.2,46,10.2,10.5,42.9,33.4,9.5,9.5,58.5,47.9,10.5,32454,10.8
  1994,3419048,2959350,2784168,175182,459698,3.2,1.9,5292,1013,31.5,31.5,11,41.5,32.4,9.1,10,56.4,46.4,10,10.8,42.7,33.4,9.3,9.7,58.5,48.1,10.3,34205,11.6
  1993,3313471,2904547,2742826,161720,408924,2.6,1.9,5166,1017,31,31,11.3,41.3,32.4,8.9,10.1,56.8,47,9.9,11,42.3,33.2,9.1,9.9,58.7,48.6,10.1,35385,12.2
  1992,3230698,2849754,2702430,147324,380944,3,2,5040,1020,30.6,30.6,11.5,41,32.3,8.7,10.3,57.6,47.9,9.7,11.3,41.8,33,8.8,10.1,59.2,49.3,9.9,34608,12.1
  1991,3135083,2794704,2664625,130079,340379,2.9,2.2,4905,1025,30.2,30.1,11.7,41,32.4,8.6,10.4,58.4,48.8,9.6,11.6,41.6,33,8.6,10.3,59.7,50,9.7,34893,12.5
  1990,3047132,2735868,2623736,112132,311264,2.3,1.7,4814,1027,29.8,29.6,11.8,40.8,32.3,8.5,10.5,59.1,49.5,9.6,11.8,41.3,32.8,8.5,10.4,60.1,50.5,9.6,36855,13.5
  1989,2930901,2647627,na,na,283274,3,1.9,4679,1027,29.3,na,11.9,41.3,32.9,8.4,10.5,60.3,50.7,9.6,na,na,na,na,na,na,na,na,33264,12.6
  1988,2846108,2598458,na,na,247650,2.6,1.7,4549,1027,28.8,na,12,41.3,33,8.3,10.6,60.6,51.2,9.4,na,na,na,na,na,na,na,na,38865,15
  1987,2774789,2553864,na,na,220925,1.5,1.4,4457,1027,28.3,na,12.3,41.8,33.7,8.1,10.8,61.4,52.1,9.3,na,na,na,na,na,na,na,na,30271,11.9
  1986,2733373,2518598,na,na,214775,-0.1,1.4,4397,1028,27.8,na,12.5,42.6,34.6,8,11,63,53.9,9.1,na,na,na,na,na,na,na,na,25451,10.1
  1985,2735957,2482615,na,na,253342,0.1,1.6,4409,1028,27.2,na,12.8,43.3,35.5,7.8,11.1,65,56,9,na,na,na,na,na,na,na,na,28910,11.7
  1984,2732221,2443705,na,na,288516,1.9,1.6,4405,1029,26.7,na,13.1,43.7,36.1,7.7,11.2,67.1,58.2,8.9,na,na,na,na,na,na,na,na,28351,11.6
  1983,2681061,2406165,na,na,274896,1.3,1.7,4338,1029,26.1,na,13.3,44.4,36.9,7.5,11.3,70,61.1,8.9,na,na,na,na,na,na,na,na,27230,11.3
  1982,2646466,2365707,na,na,280759,4.5,1.8,4282,1030,25.5,na,13.5,45.3,37.9,7.4,11.3,72.8,64,8.8,na,na,na,na,na,na,na,na,29629,12.5
  1981,2532835,2324403,na,na,208432,4.9,1.9,4099,1031,24.9,na,13.7,46.5,39.2,7.3,11.4,76,67.3,8.8,na,na,na,na,na,na,na,na,29505,12.7
  1980,2413945,2282125,2194280,87845,131820,1.5,1.3,3907,1032,24.4,23.9,13.8,48.2,41,7.3,11.3,79.8,71,8.8,13.9,49.5,42.3,7.2,11.4,82.4,73.7,8.8,28895,12.7
  1979,2383500,na,na,na,na,1.3,na,3858,1042,23.9,na,14.6,48.6,41.8,6.8,11.9,81.9,73.6,8.4,na,na,na,na,na,na,na,na,28311,11.9
  1978,2353600,na,na,na,na,1.2,na,3819,1043,23.4,na,14.7,51,44.2,6.8,11.9,86.4,78,8.4,na,na,na,na,na,na,na,na,27376,11.6
  1977,2325300,na,na,na,na,1.4,na,3773,1043,22.9,na,15,53.5,46.8,6.7,12,90.9,82.6,8.3,na,na,na,na,na,na,na,na,26409,11.4
  1976,2293300,na,na,na,na,1.4,na,3809,1044,22.4,na,15.2,56,49.4,6.6,12.1,95.4,87.1,8.2,na,na,na,na,na,na,na,na,31135,13.6
  1975,2262600,na,na,na,na,1.5,na,3791,1045,21.9,na,15.6,58.8,52.3,6.4,12.4,99.8,91.7,8.1,na,na,na,na,na,na,na,na,28501,12.6
  1974,2229800,na,na,na,na,1.7,na,3795,1046,21.4,na,15.5,62,55.5,6.4,12.3,104.3,96.1,8.1,na,na,na,na,na,na,na,na,31594,14.2
  1973,2193000,na,na,na,na,1.9,na,3740,1046,20.9,na,16,64.6,58.4,6.3,12.7,108.1,100.2,7.9,na,na,na,na,na,na,na,na,36349,16.6
  1972,2152400,na,na,na,na,1.9,na,3671,1047,20.4,na,16.3,67.4,61.3,6.1,12.9,111.6,103.9,7.8,na,na,na,na,na,na,na,na,38156,17.7
  1971,2112900,na,na,na,na,1.9,na,3603,1048,20.1,na,16.9,70.1,64.2,5.9,13.4,114.3,106.8,7.5,na,na,na,na,na,na,na,na,35759,16.9
  1970,2074507,2013563,1874778,138785,60944,2.8,na,3538,1049,19.5,18.6,17,73.9,68.1,5.9,13.5,119.6,112.2,7.4,17.2,79,73.2,5.8,13.5,128.5,121.1,7.4,35217,17
  1969,2042500,na,na,na,na,1.5,na,3490,1052,18.9,na,19,78.1,72.8,5.3,15,124.9,118.2,6.7,na,na,na,na,na,na,na,na,34338,16.8
  1968,2012000,na,na,na,na,1.7,na,3443,1057,18.5,na,19.2,81.3,76.1,5.2,15.2,128.7,122.1,6.6,na,na,na,na,na,na,na,na,36259,18
  1967,1977600,na,na,na,na,2.2,na,3392,1060,18.2,na,19.7,84,79,5.1,15.6,132.1,125.7,6.4,na,na,na,na,na,na,na,na,40037,20.2
  1966,1934400,na,na,na,na,2.5,na,3327,1061,17.9,na,20.2,86.3,81.3,4.9,16,135,128.7,6.2,na,na,na,na,na,na,na,na,44236,22.9
  1965,1886900,na,na,na,na,2.5,na,3245,1066,17.8,na,21,87.6,82.8,4.8,16.9,133.7,127.8,5.9,na,na,na,na,na,na,na,na,45462,24.1
  1964,1841600,na,na,na,na,2.6,na,3167,1069,17.8,na,21.3,89.5,84.8,4.7,17.4,131.4,125.6,5.7,na,na,na,na,na,na,na,na,47783,25.9
  1963,1795000,na,na,na,na,2.6,na,3087,1073,17.7,na,21.5,90.9,86.3,4.7,17.8,129.8,124.2,5.6,na,na,na,na,na,na,na,na,49392,27.5
  1962,1750200,na,na,na,na,2.8,na,3010,1082,17.8,na,22,91.9,87.3,4.5,18.6,126.7,121.3,5.4,na,na,na,na,na,na,na,na,48799,27.9
  1961,1702400,na,na,na,na,3.4,na,2928,1087,17.9,na,22.8,92.7,88.3,4.4,19.6,124.4,119.3,5.1,na,na,na,na,na,na,na,na,49903,29.3
  1960,1646400,na,na,na,na,3.7,na,2831,1093,18,na,23,91.2,86.8,4.4,19.6,123.5,118.4,5.1,na,na,na,na,na,na,na,na,51565,31.3
  1959,1587200,na,na,na,na,4.5,na,na,1098,18.3,na,23.7,87.6,83.4,4.2,20,122.1,117.1,5,na,na,na,na,na,na,na,na,52289,32.9
  1958,1518800,na,na,na,na,5,na,na,1106,18.5,na,24.4,85.1,81,4.1,20.4,121.3,116.4,4.9,na,na,na,na,na,na,na,na,51919,34.2
  1957,1445929,na,na,na,na,5.4,na,2486,1117,18.8,na,25.6,81.7,77.8,3.9,21.3,119.1,114.3,4.7,na,na,na,na,na,na,na,na,51110,35.3
  1956,1371600,na,na,na,na,5.1,na,na,1122,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,50654,36.9
  1955,1305500,na,na,na,na,4.6,na,na,1129,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,47239,36.2
  1954,1248200,na,na,na,na,4.7,na,na,1138,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,46239,37.1
  1953,1191800,na,na,na,na,5.7,na,na,1149,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,42992,36.1
  1952,1127000,na,na,na,na,5.5,na,na,1153,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,39136,34.7
  1951,1068100,na,na,na,na,4.5,na,na,1159,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,35735,33.4
  1950,1022100,na,na,na,na,4.4,na,na,1173,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,34059,33.4
