,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Employed Residents Aged 15 Years And Over By Industry And Occupation, (June), Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 13/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER & SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand
Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 
    Real Estate Services,7.5,5.7,6.1,6.3,7.4,7.1,7.6,7,8,6.7,8.6,8.3,8.1,7.5,6.4,5.8,na,5.1,5.1,4.7,4.2,4.4,5.7,na,na,na,na,5.8,na,na,na,na,3.2
    Professional Services,42.5,42.8,43.2,37.7,34.7,35.8,32.1,34.6,33.9,30.5,27.4,28.7,20.2,22.9,22.4,19.6,na,15.2,12.8,12.5,9.4,10.4,11.3,na,na,na,na,9.4,na,na,na,na,5.1
    Administrative & Support Services,12.9,12.6,12.3,10.9,10.5,10.3,11.9,10.8,11.4,11.8,11.4,12.3,11.6,11,10.6,9.5,na,6.6,9,9.1,8.8,8.1,7.2,na,na,na,na,3.9,na,na,na,na,2.7
    Public Administration & Education Services,37.1,34.4,31.7,30.1,24,23.3,25.4,22.7,20.9,20.3,20.3,17.6,19.2,12.8,10.9,10.2,na,13.7,6.7,8.6,7.5,6.2,9.4,2.4,2.9,3,2.1,2.4,1.7,1.3,1.2,1.5,1.9
    Health & Social Services,11.5,9.7,11.3,8.4,6.9,7.5,6.9,7.3,7.4,6.9,5.6,6.5,6.7,4.6,4.9,3.8,na,3.3,2.7,2.3,2.5,2.7,1.8,1.6,1.2,2.1,0.8,1.4,0.8,0.6,0.8,0.5,0.6
"    Arts, Entertainment & Recreation",4.7,4.2,4.5,5.2,5.1,3.5,4,3.8,3.3,4.8,4.5,4.1,4.3,2.4,2.8,2.8,na,1.5,0.8,1.5,1.3,1.1,2.2,na,na,na,na,1.3,na,na,na,na,0.8
"    Other Community, Social & Personal Services",9.3,9.1,8.5,7.4,6.7,7.9,7.7,7.3,7.1,6.9,6.1,7.2,6.9,11,8.6,8.1,na,5,6.8,6.7,6.2,5.8,4.6,8.3,7.1,7.7,6.6,6,5.1,4.4,4.7,3.7,3
  Other Industries Nes,2.9,2.9,2.6,3.5,2,2.8,2.7,2.9,3.2,4.8,3.8,3.7,6,3.3,3.5,2.9,na,1.6,2.5,2.2,1.9,2.1,1.4,1.6,1.2,1.3,0.9,0.9,0.6,0.6,0.6,0.4,0.6
Professionals,600.9,577.5,504.2,469.4,449.2,437.6,419.8,404.1,383.3,371.9,369.9,348.5,375.7,341.8,334.5,309.6,na,259,250,247.1,236.3,233,196.4,170,158.1,152.3,122.5,103.1,107,99.9,94,81.1,71.1
  Manufacturing,59.7,52.6,51.1,45.1,46.9,41.8,47.7,47.3,50.8,55.3,55.2,55,62.6,58,59.6,56.7,na,43,47.5,48.7,46.3,46.5,30.9,38.1,35.2,33.8,27,16,22.2,18.8,17.4,15,9.2
  Construction,16.9,15.8,17.2,11.7,13.3,11.8,9.8,10.7,9.9,10.6,11.2,10.8,16.5,14.6,12,10.3,na,6.3,8.1,8.7,8.7,10.8,6.7,10.8,8.6,7.8,5.5,3,4.6,4.2,4.2,4,1.6
  Services,517.6,504,430.6,407.3,384.5,379.4,358.3,341.9,318.8,301.5,299.2,278.3,289.2,266.4,260.1,240,na,207.6,192.2,187.4,179.1,173.6,157.7,120,113.2,109.4,89.2,83.5,79.3,76.2,71.6,61.6,59.5
    Wholesale & Retail Trade,57.1,53.3,49.1,42.4,40.1,39.4,38.5,38.1,33.1,27.4,28.3,23.8,21.3,18.4,17,19.2,na,25.9,19.5,16.9,16.5,13.6,20.5,6.9,6.2,6,6.4,3.9,4.9,4.3,4.3,3.2,3.7
    Transportation & Storage,18.2,19.5,17.8,15.1,13.7,12.8,12.1,13,13.3,12.2,11.3,12.4,14.4,10.3,10.9,9.2,na,9.4,8.7,7.7,8.7,8.9,9.3,7.6,6.7,7,4.5,3.1,4.3,4.3,3.4,2.8,1.7
    Accommodation & Food Services,2.9,2.5,2.8,1.8,1.7,1.9,1.6,1.7,1.8,1.7,1.8,2,1.7,1.2,1.7,1.1,na,1.8,1,0.8,0.9,1,2.2,0.4,0.7,0.4,0.4,0.4,0.5,0.5,0.2,0.6,0.4
    Information & Communications,59.3,52.7,42.9,39.2,36.4,33.3,30.5,29.3,32,31,31.2,29.5,37.9,40.6,35.3,37.3,na,29.1,25.4,27.3,26.3,27.8,23.2,na,na,na,na,9.1,na,na,na,na,3.8
    Financial & Insurance Services,91.8,92.8,70.8,71.6,64.8,69.2,62.8,55,48.9,43.4,46.2,42.7,40.8,37.8,40.6,34.1,na,33.9,24.5,22.6,21.1,22.2,20.3,7.5,7.3,9.2,5.1,7.5,4.4,3.4,3.1,2.7,3.4
    Real Estate Services,6.8,5.5,6.7,4.4,4.3,4.7,3.1,3.6,3.6,2.9,3.4,2.8,2.8,3.3,3.2,2.8,na,2,2.6,2.2,2.5,2.8,2.3,na,na,na,na,1.6,na,na,na,na,1
    Professional Services,80.3,79.7,67.9,64.9,62.7,62.7,58.1,60.4,55.4,50.7,51.8,44.8,46.1,46.4,44.4,37.8,na,33.7,28.2,25.9,24.8,25.7,22.5,na,na,na,na,13.4,na,na,na,na,7.6
    Administrative & Support Services,11.8,11.2,11.6,8.7,8.3,7.3,7.3,7.1,5.4,5,4.8,4.2,5.7,4.1,3.2,3.3,na,2.4,4.9,5.4,4.7,3.9,1.2,na,na,na,na,0.8,na,na,na,na,1.1
    Public Administration & Education Services,110.9,112.4,96.8,94.6,90,90.5,87.1,85.6,76.6,80.5,75.5,72.1,73.3,65.2,63.6,58.8,na,48.6,48.9,52,47.9,42.7,39.4,46.4,47.5,39.6,38.2,33.9,34.6,36.4,34.8,32.3,28.8
    Health & Social Services,64.4,59.6,51.8,54,50.7,47.7,45.7,37.8,40.8,38.2,35.9,35.4,36,30.7,32.6,28.9,na,17.2,24.6,22.1,21,20.6,12.5,7.2,7.1,8.7,6.4,5.4,6.5,7,5.9,5.3,5.8
"    Arts, Entertainment & Recreation",4.4,4.4,4.8,3.1,3.4,3.5,5,3.4,3.7,3.4,4,3.8,4.9,2.7,2.3,2.4,na,1.3,1.4,1.1,0.9,1,1.6,na,na,na,na,0.9,na,na,na,na,0.7
"    Other Community, Social & Personal Services",9.6,10.4,7.5,7.6,8.2,6.4,6.4,7,4.2,5,5,4.9,4.4,5.7,5.1,5.2,na,2.3,2.7,3.5,3.8,3.6,2.8,6.6,6.3,5.7,4.8,3.5,3.5,3.3,4.4,3.5,1.6
  Other Industries Nes,6.7,5.1,5.3,5.3,4.5,4.7,4,4.1,3.7,4.5,4.3,4.4,7.3,2.8,2.8,2.6,na,2.1,2.2,2.3,2.1,2.1,1.2,1.2,1.1,1.3,0.8,0.5,0.9,0.8,0.7,0.5,0.8
